model_name,timestamp,epoch,train_loss,valid_loss,accuracy,lr
resnet18,2025-10-17T16:39:13.879012,50,1.239324688911438,1.40511953830719,0.6424384713172913,4.65959622113115e-05
resnet18,2025-10-17T16:39:13.879019,51,1.1999856233596802,1.423351526260376,0.6354044675827026,4.756932281014214e-05
resnet18,2025-10-17T16:39:13.879026,52,1.203752875328064,1.3482282161712646,0.6553341150283813,4.860907927114399e-05
resnet18,2025-10-17T16:39:13.879033,53,1.2002581357955933,1.4188176393508911,0.636576771736145,4.9715085465943006e-05
resnet18,2025-10-17T16:39:13.879039,54,1.218826174736023,1.3919962644577026,0.6471278071403503,5.0887185955363794e-05
resnet18,2025-10-17T16:39:13.879046,55,1.2020738124847412,1.4089860916137695,0.6459554433822632,5.212521601127533e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.079625,1,6.476572036743164,8.207596778869629,0.015240328386425972,0.004
deit_tiny_patch16_224,2025-10-17T16:49:54.079709,2,5.709690093994141,51.8278923034668,0.022274326533079147,0.004053958249355684
deit_tiny_patch16_224,2025-10-17T16:49:54.079729,3,5.2652997970581055,4.756015777587891,0.022274326533079147,0.004215711685228015
deit_tiny_patch16_224,2025-10-17T16:49:54.079745,4,4.798640251159668,4.285379409790039,0.029308322817087173,0.004484896643774199
deit_tiny_patch16_224,2025-10-17T16:49:54.079757,5,4.431691646575928,4.023344039916992,0.05392731353640556,0.0048609079271143985
deit_tiny_patch16_224,2025-10-17T16:49:54.079772,6,4.140579700469971,4.005815505981445,0.06330598145723343,0.0004
deit_tiny_patch16_224,2025-10-17T16:49:54.079786,7,4.130694389343262,3.986081600189209,0.043376319110393524,0.00040134914583748495
deit_tiny_patch16_224,2025-10-17T16:49:54.079799,8,4.141345024108887,3.967336654663086,0.06213364750146866,0.00040539582493556844
deit_tiny_patch16_224,2025-10-17T16:49:54.079810,9,4.159550189971924,4.102852821350098,0.057444315403699875,0.00041213776247747555
deit_tiny_patch16_224,2025-10-17T16:49:54.079821,10,4.128643035888672,4.136816501617432,0.03868698701262474,0.00042157116852280154
deit_tiny_patch16_224,2025-10-17T16:49:54.079834,11,4.083827018737793,3.9318044185638428,0.06096131354570389,0.00043369074013800457
deit_tiny_patch16_224,2025-10-17T16:49:54.079844,12,4.023843765258789,3.8758840560913086,0.06799530982971191,0.00044848966437741994
deit_tiny_patch16_224,2025-10-17T16:49:54.079855,13,3.9955286979675293,3.847567319869995,0.07385697215795517,0.000465959622113115
deit_tiny_patch16_224,2025-10-17T16:49:54.079869,14,3.967423439025879,3.8132741451263428,0.08323563635349274,0.0004860907927114399
deit_tiny_patch16_224,2025-10-17T16:49:54.079882,15,3.942486524581909,3.802579164505005,0.08206330239772797,0.0005088718595536379
deit_tiny_patch16_224,2025-10-17T16:49:54.079893,16,3.923313617706299,3.801168441772461,0.07971864193677902,0.00012
deit_tiny_patch16_224,2025-10-17T16:49:54.079903,17,3.9252865314483643,3.82265567779541,0.06916764378547668,0.0001201011894931285
deit_tiny_patch16_224,2025-10-17T16:49:54.079914,18,3.9233405590057373,3.8739452362060547,0.06565064191818237,0.00012040474375124548
deit_tiny_patch16_224,2025-10-17T16:49:54.079924,19,3.9306836128234863,3.8368101119995117,0.07033997774124146,0.00012091062011254312
deit_tiny_patch16_224,2025-10-17T16:49:54.079932,20,3.927680730819702,3.874049186706543,0.057444315403699875,0.00012161874748067053
deit_tiny_patch16_224,2025-10-17T16:49:54.079943,21,3.915022134780884,3.7630908489227295,0.07737397402524948,0.00012252902633472595
deit_tiny_patch16_224,2025-10-17T16:49:54.079955,22,3.8866379261016846,3.751065492630005,0.08206330239772797,0.00012364132874324266
deit_tiny_patch16_224,2025-10-17T16:49:54.079964,23,3.8538119792938232,3.721907138824463,0.08440797030925751,0.00012495549838216954
deit_tiny_patch16_224,2025-10-17T16:49:54.079974,24,3.8140788078308105,3.6970224380493164,0.10199296474456787,0.00012647135055684046
deit_tiny_patch16_224,2025-10-17T16:49:54.079984,25,3.802161931991577,3.7902472019195557,0.09144196659326553,0.00012818867222793133
deit_tiny_patch16_224,2025-10-17T16:49:54.079995,26,3.7642595767974854,3.63749098777771,0.09964829683303833,0.00013010722204140137
deit_tiny_patch16_224,2025-10-17T16:49:54.080006,27,3.7613072395324707,3.6808629035949707,0.1008206307888031,0.00013222673036241295
deit_tiny_patch16_224,2025-10-17T16:49:54.080018,28,3.753896474838257,3.654588222503662,0.09964829683303833,0.00013454689931322598
